id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
62,2962,453,259,58,162,504.0,408.0,0.90654456615448,0.9816176295280457,0,0,512,512
63,137,196,480,13,10,200.0,488.0,0.9052400588989258,0.9637681245803833,0,0,512,512
64,562,0,0,22,33,8.0,24.0,0.9040623903274536,0.9754385948181152,0,0,512,512
65,62,165,161,11,10,168.0,168.0,0.9008970260620117,0.953125,0,0,512,512
66,5738,93,104,134,93,200.0,152.0,0.8934386968612671,0.9519509077072144,0,0,512,512
67,3422,92,394,43,117,120.0,488.0,0.8932298421859741,0.9594711065292358,0,0,512,512
68,968,257,424,21,52,264.0,472.0,0.8917505741119385,0.9613034725189209,0,0,512,512
69,508,451,223,60,41,472.0,248.0,0.8908684253692627,0.9500959515571594,0,0,512,512
70,299,90,394,17,19,104.0,408.0,0.8857116103172302,0.9636963605880737,0,0,512,512
71,1685,75,394,31,105,104.0,408.0,0.8833320140838623,0.9558652639389038,0,0,512,512
